"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ERV316A3_2q35f",5.88607742674959,5.71113115252446,0.556411053013989,10.2642302333647,1.02132239731812e-24,5.40483812660752e-22
"HERVH_1q42.2b",3.90257147493458,3.77049645520267,0.383256157513705,9.83805838805822,7.71860195503813e-23,2.65768354863657e-20
"HERVFRD_3p22.1",12.0463041641853,4.83241454823822,0.492488610561505,9.81223615045351,9.97335356166426e-23,2.65768354863657e-20
"HML5_12q23.1",34.2782715217718,4.30302221517946,0.437897221881502,9.8265574663634,8.65260585013492e-23,2.65768354863657e-20
"HERVH_3p21.31a",3.74569017339751,3.55418317781211,0.364153112225691,9.76013401640058,1.66934477468469e-22,4.01553297619608e-20
"HERVH_5q31.1a",4.35936967084001,4.16596558288574,0.429374407546741,9.70240775804096,2.94466179328533e-22,6.49297925419416e-20
"HML6_14q24.2",12.5842247692805,6.59376735910564,0.696521190848227,9.4667146466509,2.88783639386289e-21,5.87785776781632e-19
"HERVH_21q21.1b",1.91903738120602,4.54818742745339,0.483813228132448,9.4007091228359,5.41965624302952e-21,1.02431502993258e-18
"HERVH_9q31.1",4.64900498179279,4.37689449235559,0.472941521581597,9.25462090475479,2.14991958784157e-20,3.34628660554635e-18
"HERVH_14q11.2a",18.3301362893587,4.69138029481308,0.517910915590522,9.05827653673599,1.32527906174634e-19,1.66985161780039e-17
"HERVI_16q22.2",65.8206102483956,18.8253376805826,2.10141451174067,8.95841233388503,3.29386705495242e-19,3.78937922930613e-17
"HUERSP3_2p23.1",10.7501158894968,7.55489086000319,0.844280393839083,8.94831967570613,3.60934482318164e-19,3.97930266755775e-17
"MER4_4p12a",8.41275660781406,5.42367543653976,0.613618917591955,8.83883348613837,9.672314814836e-19,8.82515344829519e-17
"HERV3_7q34a",4.00737815078548,4.94259320781509,0.560015812837281,8.82581008342209,1.08670304521972e-18,9.58472085883789e-17
"HERVS71_11q13.2",16.6000184572469,7.48536206559333,0.889522064005222,8.41503810696863,3.92767210866723e-17,2.66477446141884e-15
"MER4B_10q24.32",3.67994545497293,3.5184011526638,0.41983786156356,8.38038079643548,5.27567389324604e-17,3.323674552745e-15
"HERVH_10p11.21",3.12086799999085,3.61018973895539,0.432221230373806,8.35264324205713,6.67520372753862e-17,4.10757885187609e-15
"HML2_3q27.2",5.94616203157722,6.34597587723169,0.776936830464916,8.16794316911748,3.1369161812818e-16,1.66005604313433e-14
"HERVL_3q21.2",6.44705186606072,3.83985499399175,0.479336128941942,8.01077732752509,1.13985667099135e-15,5.6906806631002e-14
"HERVH_1p34.3c",1.65067120015908,3.69854579415831,0.464993630188895,7.95397088053839,1.80626599336874e-15,8.53460681866732e-14
"HML2_11q23.3",5.92530038046644,7.02655929747506,0.905885711545534,7.75656267443167,8.72621943821153e-15,3.72412526346898e-13
"MER4_2p21",8.69496982695128,4.56515172059191,0.58904870123427,7.75004122923329,9.18627175805496e-15,3.78833717255617e-13
"HERVH_4q35.2a",4.75914587530385,5.64258162178155,0.728258302064912,7.74804984135781,9.3314516003268e-15,3.78833717255617e-13
"ERV316A3_19q13.2",4.8188572925089,3.56582882583437,0.469969824745912,7.58735697076346,3.26496695292582e-14,1.18343870649886e-12
"HERVH_5q22.1",1.77899526258094,3.86628564343088,0.50973906731239,7.58483289071006,3.32915862427486e-14,1.19039915132855e-12
"HERVH_19q13.2a",5.43214435290212,6.42955430415768,0.85526366918351,7.51762823071363,5.57788417151696e-14,1.9419844102413e-12
"MER41_Xp11.22",1.04692952220659,4.61827270732128,0.615170906382629,7.50730026307318,6.03591766600202e-14,2.07416079795342e-12
"HML6_19q13.41f",11.3011876992077,3.60377662808278,0.489750770078102,7.35838889545406,1.86143090528977e-13,6.08067429061323e-12
"HERVH_18q12.3a",3.04641457712538,4.94542585529327,0.687875624792139,7.18941866385754,6.50677679143098e-13,1.93448667304791e-11
"HERV3_19q13.33",3.32142903645946,4.14016638500956,0.576027606371572,7.18744438498129,6.60152779172674e-13,1.94084917076766e-11
